Index,Name,OVR,Position,Alternative positions,Age,Nation,League,Team
7080,Piotr Johansson,67,RB,,29,Sweden,Allsvenskan,Djurgårdens IF
7081,George Johnston,67,CB,,26,Scotland,EFL League One,Bolton
7082,Kasper Jørgensen,67,RB,LB,24,Denmark,3F Superliga,AaB
7083,Branko Jovičić,67,CDM,CM,31,Serbia,Ö. Bundesliga,LASK
7084,Ju Se Jong,67,CDM,CM,33,Korea Republic,K League 1,Daejeon
7085,Hidde Jurjus,67,GK,,30,Holland,Eredivisie,FC Groningen
7086,Markus Kaasa,67,CM,,27,Norway,Eliteserien,Molde FK
7087,Sory Kaba,67,ST,,29,Guinea,LALIGA HYPERMOTION,Elche CF
7088,Yusuf Kabadayi,67,RM,"CM, RW",20,Germany,Bundesliga,FC Augsburg
7089,Damian Kądzior,67,RM,"LM, RW",32,Poland,PKO BP Ekstraklasa,Piast Gliwice
7090,Eric Kahl,67,LB,,22,Sweden,3F Superliga,AGF
7091,Tobias Kainz,67,CDM,CM,31,Austria,Ö. Bundesliga,TSV Hartberg
7092,Lovre Kalinić,67,GK,,34,Croatia,Liga Hrvatska,Hajduk Split
7093,Benjamin Källman,67,ST,,26,Finland,PKO BP Ekstraklasa,Cracovia
7094,Yayah Kallon,67,RW,"CAM, RM",23,Sierra Leone,Serie BKT,Salernitana
7095,Dijon Kameri,67,CAM,"CM, RW",20,Austria,Ö. Bundesliga,SCR Altach
7096,Claudio Kammerknecht,67,RB,"CDM, CB",25,Sri Lanka,3. Liga,Dynamo Dresden
7097,Ali Karimi,67,CM,CDM,30,Iran,Trendyol Süper Lig,Kayserispor
7098,Ahmed Kashi,67,CDM,CM,35,Algeria,Ligue 2 BKT,FC Annecy
7099,David Kasumu,67,CDM,"CM, RB",24,Nigeria,EFL League One,Huddersfield
7100,Fabio Kaufmann,67,CAM,"ST, RM",32,Germany,Bundesliga 2,Braunschweig
7101,Oluwatosin Kehinde,67,RM,"LM, RW",26,Nigeria,Magyar Liga,Ferencvárosi TC
7102,Matty Kennedy,67,LM,"RM, RB, LW",29,Northern Ireland,Scottish Prem,Kilmarnock
7103,Scott Kennedy,67,CB,,27,Canada,Ö. Bundesliga,Wolfsberger AC
7104,David Kiki,67,LB,"RB, LM",30,Benin,SUPERLIGA,FCSB
7105,Mads Kikkenborg,67,GK,,24,Denmark,1A Pro League,RSC Anderlecht
7106,Guy-Marcelin Kilama,67,CB,,25,Cameroon,Trendyol Süper Lig,Hatayspor
7107,Kim Ju Sung,67,CB,,23,Korea Republic,K League 1,FC Seoul
7108,Kim Bo Sub,67,RW,"LW, RM",26,Korea Republic,K League 1,Incheon United
7109,Mikkel Kirkeskov,67,LB,LM,33,Denmark,Bundesliga 2,Preußen Münster
7110,Arda Kızıldağ,67,CB,RB,25,Turkey,Trendyol Süper Lig,Gaziantep
7111,Carl Klaus,67,GK,,30,Germany,Bundesliga,Union Berlin
7112,Pascal Klemens,67,CDM,CB,19,Germany,Bundesliga 2,Hertha BSC
7113,Philipp Klement,67,CAM,"CM, CDM",32,Germany,Bundesliga 2,Kaiserslautern
7114,Stefan Knežević,67,CB,,27,Switzerland,CSSL,FC Luzern
7115,Harvey Knibbs,67,CAM,"CM, LM",25,England,EFL League One,Reading
7116,Mats Knoester,67,CB,,25,Holland,Magyar Liga,Ferencvárosi TC
7117,Christoph Kobald,67,CB,,27,Austria,Bundesliga 2,Karlsruher SC
7118,Elvir Koljić,67,ST,,29,Bosnia and Herzegovina,SUPERLIGA,Univ. Craiova
7119,Cheick Oumar Konaté,67,RB,"CB, RM",20,Mali,Ligue 2 BKT,Clermont Foot 63
7120,David Kopacz,67,RM,"CAM, RW",25,Poland,3. Liga,FC Ingolstadt 04
7121,Josh Koroma,67,LM,"ST, LW",25,Sierra Leone,EFL League One,Huddersfield
7122,Ilias Kostis,67,CB,LB,21,Greece,LALIGA EA SPORTS,Atlético de Madrid
7123,Xavier Kouassi,67,CB,,34,Côte d'Ivoire,Ligue 2 BKT,Pau FC
7124,Christos Kourfalidis,67,CM,,21,Greece,Serie BKT,Cosenza
7125,Adnan Kovačević,67,CB,,31,Bosnia and Herzegovina,PKO BP Ekstraklasa,Raków
7126,İsmail Köybaşı,67,LB,LM,35,Turkey,Trendyol Süper Lig,Göztepe
7127,Samuel Kozlovský,67,LB,,24,Slovakia,PKO BP Ekstraklasa,Widzew Łódź
7128,Luka Krajnc,67,CB,LB,29,Slovenia,Serie BKT,Catanzaro
7129,Robin Krauße,67,CDM,CM,30,Germany,Bundesliga 2,Braunschweig
7130,Thaer Krouma,67,CB,"CDM, CM",34,Syria,ISL,Mumbai City FC
7131,Mirlind Kryeziu,67,CB,,27,Kosovo,CSSL,FC Zürich
7132,Jarosław Kubicki,67,CDM,CAM,29,Poland,PKO BP Ekstraklasa,Jagiellonia
7133,Christian Kühlwetter,67,ST,RW,28,Germany,Bundesliga 2,Jahn Regensburg
7134,Dawid Kurminowski,67,ST,,25,Poland,PKO BP Ekstraklasa,Zagłębie Lubin
7135,Rafał Kurzawa,67,CDM,,31,Poland,PKO BP Ekstraklasa,Pogoń Szczecin
7136,Stefan Kutschke,67,ST,,35,Germany,3. Liga,Dynamo Dresden
7137,Ahmed Kutucu,67,ST,,24,Turkey,Trendyol Süper Lig,Eyüpspor
7138,Antonino La Gumina,67,ST,,28,Italy,Serie BKT,Sampdoria
7139,Francisco La Mantía,67,CB,CDM,28,Venezuela,Libertadores,Caracas FC
7140,Gustaf Lagerbielke,67,CB,,24,Sweden,Eredivisie,FC Twente
7141,Senne Lammens,67,GK,,22,Belgium,1A Pro League,Royal Antwerp FC
7142,Lazaros Lamprou,67,LM,"ST, LW",26,Greece,PKO BP Ekstraklasa,Raków
7143,Paddy Lane,67,LM,"RM, LW",23,Northern Ireland,EFL Championship,Portsmouth
7144,Christoph Lang,67,RM,"CAM, ST, RW",22,Austria,Ö. Bundesliga,SK Rapid
7145,Callum Lang,67,CAM,"ST, RM",26,England,EFL Championship,Portsmouth
7146,Macaulay Langstaff,67,ST,,27,England,EFL Championship,Millwall
7147,Ionuț Larie,67,CB,,37,Romania,SUPERLIGA,Farul Constanța
7148,Nikolai Laursen,67,RM,RW,26,Denmark,Eredivisie,Heracles Almelo
7149,Yusuf Lawal,67,RM,"LM, RW",26,Nigeria,Liga Portugal,Arouca
7150,Jordan Lawrence-Gabriel,67,RB,,25,England,EFL League One,Blackpool
7151,Mickaël Le Bihan,67,ST,,34,France,Ligue 2 BKT,SM Caen
7152,Randall Leal,67,CAM,"CM, RM",27,Costa Rica,MLS,Nashville SC
7153,Ben Lederman,67,CM,,24,Poland,PKO BP Ekstraklasa,Raków
7154,Richard Ledezma,67,CAM,CM,24,United States,Eredivisie,PSV
7155,Lee Geon Hee,67,ST,RW,26,Korea Republic,K League 1,GwangJu FC
7156,Lee Soo Bin,67,CDM,CM,24,Korea Republic,K League 1,Jeonbuk Hyundai
7157,Elliot Lee,67,CM,CAM,29,England,EFL League One,Wrexham
7158,Lee Ho Jae,67,ST,,23,Korea Republic,K League 1,Pohang Steelers
7159,Clint Leemans,67,CM,CDM,28,Holland,Eredivisie,NAC Breda
7160,Mateusz Łęgowski,67,CDM,CM,21,Poland,Serie BKT,Salernitana
7161,José Leguizamón,67,CB,CDM,33,Paraguay,Sudamericana,Sportivo Luqueño
7162,Brian Leizza,67,CB,,24,Argentina,Primera División,Tigre
7163,Julian Lelieveld,67,RB,,26,Holland,Eredivisie,RKC Waalwijk
7164,Rafał Leszczyński,67,GK,,32,Poland,PKO BP Ekstraklasa,Śląsk Wrocław
7165,Jakob Lewald,67,CB,,25,Germany,3. Liga,SV Sandhausen
7166,Li Shuai,67,LB,LM,29,China PR,CSL,Shanghai Port FC
7167,Nick Lima,67,RB,LB,29,United States,MLS,New England
7168,Alexander Lind,67,ST,,22,Denmark,Serie BKT,Pisa
7169,Evert Linthorst,67,CDM,CM,24,Holland,Eredivisie,Go Ahead Eagles
7170,Liu Binbin,67,RM,"RW, LM",31,China PR,CSL,Shandong Taishan
7171,Mihai Lixandru,67,CDM,CM,23,Romania,SUPERLIGA,FCSB
7172,Ivan Ljubić,67,CM,"CDM, CAM",28,Austria,Ö. Bundesliga,LASK
7173,Felix Lohkemper,67,ST,"LM, RM",29,Germany,3. Liga,SV Waldhof
7174,Juan Lojas,67,CB,,35,Peru,Sudamericana,Dep. Garcilaso
7175,George Long,67,GK,,30,England,EFL Championship,Norwich
7176,Ryan Longman,67,LM,"RM, ST, LW",23,England,EFL Championship,Hull City
7177,Matthew Longstaff,67,CM,,24,England,MLS,Toronto FC
7178,Noah Loosli,67,CB,,27,Switzerland,Bundesliga,VfL Bochum 1848
7179,Roberto Lopes,67,CB,,32,Cape Verde Islands,SSE Airtricity PD,Shamrock Rovers
7180,Elías López,67,RB,,24,Argentina,Primera División,Sarmiento
7181,Mario López Quintana,67,CB,,28,Paraguay,Sudamericana,Guaraní
7182,Álex López,67,CDM,CM,36,Spain,LALIGA HYPERMOTION,Racing de Ferrol
7183,Simon Lorenz,67,CB,,27,Germany,3. Liga,FC Ingolstadt 04
7184,Dylan Louiserre,67,CDM,CM,29,France,Ligue 2 BKT,En Avant Guingamp
7185,Felix Luckeneder,67,CB,,30,Austria,3. Liga,Wehen Wiesbaden
7186,Anderson Lucoqui,67,LB,,27,Angola,Bundesliga 2,Braunschweig
7187,Karlo Lulić,67,CM,CAM,28,Croatia,Serie BKT,Bari
7188,Adam Lundqvist,67,LB,,30,Sweden,Allsvenskan,BK Häcken
7189,Ramon Pascal Lundqvist,67,CAM,"CM, ST",27,Sweden,Allsvenskan,IFK Göteborg
7190,Silviu Lung,67,GK,,35,Romania,SUPERLIGA,Univ. Craiova
7191,Salem M'Bakata,67,RB,LB,26,France,Trendyol Süper Lig,Gaziantep
7192,Youssouf M'Changama,67,CM,CDM,34,Netherlands,Ligue 2 BKT,ESTAC Troyes
7193,Matt Macey,67,GK,,30,England,EFL League Two,Colchester
7194,Jack MacKenzie,67,LB,CB,24,Scotland,Scottish Prem,Aberdeen
7195,Daniel Maderner,67,ST,,28,Austria,Ö. Bundesliga,Grazer AK
7196,Ignacio Maestro Puch,67,ST,,21,Argentina,Primera División,Independiente
7197,Paris Maghoma,67,CM,CDM,23,England,Premier League,Brentford
7198,Raffaele Maiello,67,CM,CDM,33,Italy,Serie BKT,Bari
7199,Mattia Maita,67,CM,CDM,30,Italy,Serie BKT,Bari
7200,Charalambos Makridis,67,LM,"CAM, LW",28,Germany,Bundesliga 2,Preußen Münster
7201,Denil Maldonado,67,CB,RB,26,Honduras,SUPERLIGA,Univ. Craiova
7202,Camora,67,LB,LM,37,Romania,SUPERLIGA,CFR 1907 Cluj
7203,Kristiyan Malinov,67,CDM,CM,30,Bulgaria,1A Pro League,KV Kortrijk
7204,Maurice Malone,67,ST,"LM, RM",24,Germany,Ö. Bundesliga,FK Austria Wien
7205,Mark Mampassi,67,CB,,21,Russia,1A Pro League,KV Kortrijk
7206,Alberto Marí,67,ST,,23,Spain,LALIGA EA SPORTS,Valencia CF
7207,Marius Marin,67,CM,CDM,26,Romania,Serie BKT,Pisa
7208,Higinio,67,ST,,30,Spain,LALIGA HYPERMOTION,Albacete BP
7209,Jovan Marković,67,ST,,23,Romania,SUPERLIGA,FC Hermannstadt
7210,Gonzalo Maroni,67,CAM,"CM, RM",25,Argentina,Primera División,Tigre
7211,Artur Jorge,67,CB,,30,Portugal,Liga Portugal,Farense
7212,Rodrigo Márquez,67,LM,"RM, LW",22,Argentina,Primera División,Independiente
7213,Luca Marseiler,67,ST,"LM, CAM",27,Germany,Bundesliga 2,SV Darmstadt 98
7214,Félix,67,CB,LB,20,Spain,LALIGA EA SPORTS,Real Betis
7215,Jefersson Martínez,67,GK,,31,Colombia,Libertadores,Junior
7216,Ramón Martínez,67,CDM,CM,28,Paraguay,Sudamericana,Olimpia
7217,Alonso Martínez,67,RM,"LM, RW",25,Costa Rica,MLS,New York City FC
7218,Gabri Martínez,67,RM,"LM, RW",21,Spain,Liga Portugal,SC Braga
7219,Henrique Pereira,67,LW,"RW, LM",22,Portugal,Liga Portugal,Casa Pia AC
7220,Diogo Travassos,67,RB,"LB, RM",20,Portugal,Liga Portugal,Sporting CP
7221,Lucas Masoero,67,CB,,29,Argentina,SUPERLIGA,FC Univ. Cluj
7222,Roberto Massimo,67,RM,"RB, RW",23,Germany,Bundesliga 2,Fürth
7223,Chris Maxwell,67,GK,,34,Wales,EFL League One,Huddersfield
7224,Ibrahim Maza,67,CAM,CM,18,Germany,Bundesliga 2,Hertha BSC
7225,Nolan Mbemba,67,CM,CDM,29,Congo,Ligue 2 BKT,Grenoble Foot 38
7226,Amadou Mbengue,67,CB,RB,22,Senegal,EFL League One,Reading
7227,Hianga'a Mbock,67,CDM,CM,24,France,Ligue 2 BKT,Red Star FC
7228,Moustapha Mbow,67,CB,,24,Senegal,Ligue 2 BKT,Paris FC
7229,John McCarthy,67,GK,,32,United States,MLS,LA Galaxy
7230,Ross McCausland,67,RM,RW,21,Northern Ireland,Scottish Prem,Rangers
7231,James McClean,67,LB,"LM, CM",35,Republic of Ireland,EFL League One,Wrexham
7232,Marcus McGuane,67,CDM,CM,25,England,EFL Championship,Bristol City
7233,Duncan McGuire,67,ST,,23,United States,MLS,Orlando City
7234,Carl McHugh,67,CDM,"CB, CM",31,Republic of Ireland,ISL,FC Goa
7235,Shaun McWilliams,67,CDM,CM,26,England,EFL League One,Rotherham Utd
7236,Agus Medina,67,CM,"CDM, CAM",30,Spain,LALIGA HYPERMOTION,Albacete BP
7237,Nayel Mehssatou,67,RB,"RM, CDM",22,Chile,1A Pro League,KV Kortrijk
7238,Matteo Meisl,67,CB,,23,Austria,Ö. Bundesliga,FK Austria Wien
7239,Marcos Mejía,67,RM,"LM, RW",26,Ecuador,Sudamericana,Delfín SC
7240,Anzor Mekvabishvili,67,CDM,CM,23,Georgia,SUPERLIGA,Univ. Craiova
7241,Víctor Mendoza,67,GK,,29,Ecuador,Libertadores,Barcelona SC
7242,Arial Mendy,67,LB,,29,Senegal,Ligue 2 BKT,Grenoble Foot 38
7243,Jonathan Mensah,67,CB,,34,Ghana,MLS,New England
7244,Francisco Mera,67,CM,"RW, CDM",32,Ecuador,Sudamericana,Dep. Cuenca
7245,Umut Meraş,67,LB,LM,28,Turkey,Trendyol Süper Lig,Eyüpspor
7246,Juan Mercado,67,CDM,RB,27,Bolivia,Sudamericana,Universitario
7247,Andrea Meroni,67,CB,,27,Italy,Serie BKT,Reggiana
7248,Nicolás Messiniti,67,ST,,28,Argentina,Sudamericana,Delfín SC
7249,Mathieu Michel,67,GK,,33,France,Ligue 2 BKT,AC Ajaccio
7250,Daniele Mignanelli,67,LB,LM,31,Italy,Serie BKT,SS Juve Stabia
7251,Beka Mikeltadze,67,ST,,26,Georgia,K League 1,GwangJu FC
7252,Nicolas Milanović,67,LM,"ST, LW",22,Australia,A-League,WS Wanderers
7253,Lewis Miller,67,RB,,24,Australia,Scottish Prem,Hibernian
7254,Alexander Milošević,67,CB,,32,Sweden,Allsvenskan,AIK
7255,David Min,67,ST,,25,Holland,Eredivisie,FC Utrecht
7256,Novatus Miroshi,67,LB,"CB, CDM",22,Tanzania,Trendyol Süper Lig,Göztepe
7257,Shunsuke Mito,67,RM,RW,21,Japan,Eredivisie,Sparta Rotterdam
7258,Sascha Mockenhaupt,67,CB,,33,Germany,3. Liga,Wehen Wiesbaden
7259,Manu Molina,67,CDM,CM,32,Spain,LALIGA HYPERMOTION,Málaga CF
7260,Clemente Montes,67,LM,LW,23,Chile,Sudamericana,Uni. Católica
7261,Iván Morales,67,ST,RM,25,Chile,Primera División,Sarmiento
7262,Lucas Morales,67,RB,RM,24,Uruguay,Sudamericana,Wanderers
7263,Andrew Moran,67,CAM,"RM, LM",20,Republic of Ireland,EFL Championship,Stoke City
7264,Martim Fernandes,67,RB,LB,18,Portugal,Liga Portugal,FC Porto
7265,Stefano Moreyra,67,CDM,CM,23,Argentina,Primera División,Instituto
7266,Edwin Mosquera,67,RM,"LM, RW",23,Colombia,MLS,Atlanta United
7267,El Mehdi Moubarik,67,CDM,,23,Morocco,United Emirates League,Al Ain FC
7268,Owen Moxon,67,CM,CDM,26,England,EFL Championship,Portsmouth
7269,Chris Mueller,67,LM,"RM, LW",28,United States,MLS,Chicago Fire FC
7270,Joaquín,67,RM,"LM, RW",25,Spain,LALIGA HYPERMOTION,SD Huesca
7271,Carlos Isaac,67,RB,RM,26,Spain,LALIGA HYPERMOTION,Córdoba CF
7272,Jorge Murrugarra,67,CDM,,27,Peru,Libertadores,Universitario
7273,Anthony Musaba,67,RM,"RW, LM",23,Holland,EFL Championship,Sheffield Wed
7274,Tomeu Nadal,67,GK,,35,Spain,LALIGA HYPERMOTION,CD Tenerife
7275,Ivan Näsberg,67,CB,,28,Norway,3F Superliga,Viborg FF
7276,Gerrit Nauber,67,CB,,32,Germany,Eredivisie,Go Ahead Eagles
7277,Massamba Ndiaye,67,GK,,22,Senegal,Ligue 2 BKT,Clermont Foot 63
7278,David Nemeth,67,CB,,23,Austria,Bundesliga,FC St. Pauli
7279,Nathan Ngoy,67,CB,RB,21,Belgium,1A Pro League,Standard Liège
7280,Julien Ngoy,67,ST,LM,26,Belgium,1A Pro League,KV Mechelen
7281,Jona Niemiec,67,ST,RM,22,Germany,Bundesliga 2,Düsseldorf
7282,Jannis Nikolaou,67,CDM,"CB, CM",31,Germany,Bundesliga 2,Braunschweig
7283,Branislav Niňaj,67,CB,,30,Slovakia,SUPERLIGA,Sepsi OSK
7284,Ken Nkuba,67,RM,"RB, RW",22,Belgium,1A Pro League,KRC Genk
7285,Simen Bolkan Nordli,67,LM,"RM, LW",24,Norway,3F Superliga,Randers FC
7286,Brooke Norton-Cuffy,67,RB,,20,England,Serie A Enilive,Genoa
7287,Lucas Noubi,67,CB,RB,19,Belgium,1A Pro League,Standard Liège
7288,Diego Novoa,67,GK,,35,Colombia,Libertadores,Millonarios
7289,Claudio Nuñez,67,CB,RB,28,Paraguay,Sudamericana,Club Nacional
7290,Cristian Núñez,67,CM,CDM,26,Paraguay,Primera División,Banfield
7291,Álvaro Núñez,67,RB,RM,24,Spain,LALIGA HYPERMOTION,Elche CF
7292,Ché Nunnely,67,RM,RW,25,Suriname,Eredivisie,sc Heerenveen
7293,Tomás O'Connor,67,CM,CAM,20,Argentina,Libertadores,Rosario Central
7294,Stephen Odey,67,ST,,26,Nigeria,3F Superliga,Randers FC
7295,Ryoya Ogawa,67,LB,RB,27,Japan,1A Pro League,STVV
7296,Connor Ogilvie,67,LB,,28,England,EFL Championship,Portsmouth
7297,Chima Okoroji,67,LB,,27,England,CSSL,FC St. Gallen
7298,Yllan Okou,67,CB,,21,France,Serie A Enilive,Hellas Verona
7299,Orji Okwonkwo,67,ST,,26,Nigeria,Serie BKT,Reggiana
7300,Olasagasti,67,CM,CDM,24,Spain,LALIGA EA SPORTS,Real Sociedad
7301,Ibrahim Olawoyin,67,CAM,"CM, CDM",26,Nigeria,Trendyol Süper Lig,Çaykur Rizespor
7302,Ben Old,67,LM,"CAM, CM, LW",22,New Zealand,Ligue 1 McDonald's,AS Saint-Étienne
7303,Patrick Olsen,67,CM,CDM,30,Denmark,PKO BP Ekstraklasa,Śląsk Wrocław
7304,Martin Olsson,67,LB,CB,36,Sweden,Allsvenskan,Malmö FF
7305,Aimé Omgba,67,CAM,CM,21,Holland,Eredivisie,NAC Breda
7306,Başar Önal,67,LM,"RM, LW",20,Turkey,Eredivisie,N.E.C. Nijmegen
7307,Gaël Ondoua,67,CDM,CM,28,Cameroon,CSSL,Servette FC
7308,Óscar Opazo,67,RB,LB,33,Chile,Libertadores,Colo-Colo
7309,Christian Ortag,67,GK,,29,Germany,Bundesliga 2,SSV Ulm 1846
7310,Ortuño,67,ST,,33,Spain,LALIGA HYPERMOTION,FC Cartagena
7311,Jordi Osei-Tutu,67,RM,"RB, LB, RW",25,England,EFL League One,Bolton
7312,Takuto Oshima,67,CM,CDM,26,Japan,SUPERLIGA,Univ. Craiova
7313,William Osula,67,ST,,21,Denmark,Premier League,Newcastle Utd
7314,Sergio Otálvaro,67,RB,RM,37,Colombia,Sudamericana,Sportivo Luqueño
7315,Zinédine Ould Khaled,67,CDM,CM,24,France,Ligue 1 McDonald's,Angers SCO
7316,Torge Paetow,67,CB,,29,Germany,Bundesliga 2,Preußen Münster
7317,Vincent Pajot,67,CM,CDM,34,France,Ligue 2 BKT,FC Annecy
7318,Jeisson Palacios,67,CB,,30,Colombia,Sudamericana,América de Cali
7319,Liam Palmer,67,CB,"RB, CDM",32,Scotland,EFL Championship,Sheffield Wed
7320,Brayan Palmezano,67,CAM,RW,23,Venezuela,Libertadores,Huachipato
7321,Luca Pandolfi,67,ST,,26,Italy,Serie BKT,Cittadella
7322,Alexandru Pantea,67,RB,LB,21,Romania,SUPERLIGA,FCSB
7323,Antonios Papadopoulos,67,CB,CDM,25,Germany,CSSL,FC Lugano
7324,Giannis Papanikolaou,67,CM,CB,25,Greece,Trendyol Süper Lig,Çaykur Rizespor
7325,Gaëtan Paquiez,67,RB,"LB, CB",30,France,Ligue 2 BKT,Grenoble Foot 38
7326,Miquel Parera,67,GK,,28,Spain,LALIGA HYPERMOTION,R. Racing Club
7327,Park Soo Il,67,RB,LB,28,Korea Republic,K League 1,Gimcheon Sangmu
7328,Abdulkadir Parmak,67,CDM,CM,29,Turkey,Trendyol Süper Lig,Hatayspor
7329,Lóránd Pászka,67,LB,RB,28,Hungary,Magyar Liga,Ferencvárosi TC
7330,Adrian Păun,67,CAM,"LW, CM",29,Romania,SUPERLIGA,CFR 1907 Cluj
7331,Nicolae Păun,67,CDM,CM,25,Romania,SUPERLIGA,Sepsi OSK
7332,Nicola Pavan,67,CB,CM,31,Italy,Serie BKT,Cittadella
7333,Bartłomiej Pawłowski,67,CAM,LW,31,Poland,PKO BP Ekstraklasa,Widzew Łódź
7334,Tim Payne,67,RB,CB,30,New Zealand,A-League,Well. Phoenix
7335,Kristian Pedersen,67,LB,CB,30,Denmark,EFL Championship,Swansea City
7336,Matthew Pennington,67,CB,,29,England,EFL League One,Blackpool
7337,Juan José Perea,67,ST,,24,Colombia,CSSL,FC Zürich
7338,Geisson Perea,67,CB,,33,Colombia,Sudamericana,UCV
7339,Adrian Nilsen Pereira,67,LB,,25,Norway,Eliteserien,Rosenborg BK
7340,Serginho,67,RW,"CAM, RM",23,Portugal,3F Superliga,Viborg FF
7341,Pablo Felipe,67,RM,"ST, RW",20,Brazil,Liga Portugal,FC Famalicão
7342,Angel Pérez,67,RB,,34,Peru,Sudamericana,Sport Huancayo
7343,Luis Pérez,67,CM,,28,Colombia,Sudamericana,ADT
7344,Juan Pérez,67,GK,,28,Spain,LALIGA HYPERMOTION,SD Huesca
7345,Simone Perilli,67,GK,,29,Italy,Serie A Enilive,Hellas Verona
7346,Kristoffer Peterson,67,LM,"RM, LW",29,Sweden,Eredivisie,Fortuna Sittard
7347,Jeremy Petris,67,RB,,26,France,1A Pro League,Sp. Charleroi
7348,Tom Pettersson,67,CB,,34,Sweden,Allsvenskan,Mjällby AIF
7349,Nicholas Pierini,67,ST,"RW, LW",26,Italy,Serie BKT,Sassuolo
7350,Simon Piesinger,67,CB,CDM,32,Austria,Ö. Bundesliga,Wolfsberger AC
7351,Shaquille Pinas,67,LB,CB,26,Suriname,Allsvenskan,Hammarby IF
7352,Markus Pink,67,ST,,33,Austria,Ö. Bundesliga,Wolfsberger AC
7353,Mitch Pinnock,67,CAM,"CM, LM",29,England,EFL League One,Northampton
7354,Gabriel Pirani,67,CAM,CM,22,Brazil,MLS,D.C. United
7355,Lucas Pirard,67,GK,,29,Belgium,1A Pro League,KV Kortrijk
7356,Filippo Pittarello,67,ST,,27,Italy,Serie BKT,Catanzaro
7357,Damián Pizarro,67,ST,,19,Chile,Serie A Enilive,Udinese
7358,Johny Placide,67,GK,,36,Haiti,Ligue 2 BKT,SC Bastia
7359,Morgan Poaty,67,LB,LM,27,Congo,CSSL,Lausanne-Sport
7360,Peter Pokorný,67,CDM,CM,23,Slovakia,PKO BP Ekstraklasa,Śląsk Wrocław
7361,Ernest Poku,67,RW,"LW, RM",20,Holland,Eredivisie,AZ
7362,Pomares,67,LB,,31,Spain,LALIGA HYPERMOTION,R. Oviedo
7363,Fabio Ponsi,67,RB,LB,23,Italy,Serie BKT,Modena
7364,Daniel Popa,67,ST,,29,Romania,SUPERLIGA,FCSB
7365,Ovidiu Popescu,67,CDM,"RB, CM",30,Romania,SUPERLIGA,FC Univ. Cluj
7366,Segundo Portocarrero,67,LM,"LB, RM, LW",27,Ecuador,Libertadores,Universitario
7367,Romano Postema,67,ST,,22,Holland,Eredivisie,FC Groningen
7368,Freddie Potts,67,CDM,CM,21,England,EFL Championship,Portsmouth
7369,Marvin Potzmann,67,RB,"CM, LM",30,Austria,Ö. Bundesliga,FK Austria Wien
7370,Andreas Poulsen,67,LB,,24,Denmark,3F Superliga,Silkeborg IF
7371,Gaëtan Poussin,67,GK,,25,France,LALIGA HYPERMOTION,Real Zaragoza
7372,Mateusz Praszelik,67,CDM,CM,23,Poland,Serie BKT,Südtirol
7373,Nik Prelec,67,ST,,23,Slovenia,Ö. Bundesliga,FK Austria Wien
7374,Isaac Price,67,CM,RM,20,Northern Ireland,1A Pro League,Standard Liège
7375,Richard Prieto,67,LM,"LB, LW",27,Paraguay,Sudamericana,Guaraní
7376,Oliver Provstgaard,67,CB,,21,Denmark,3F Superliga,Vejle Boldklub
7377,Raffaele Pucino,67,RB,,33,Italy,Serie BKT,Bari
7378,David Puclin,67,CDM,CM,32,Croatia,CSL,Nantong Zhiyun FC
7379,George Pușcaș,67,ST,,28,Romania,Trendyol Süper Lig,Bodrum FK
7380,Qian Jiegei,67,CDM,CM,32,China PR,CSL,Zhejiang Pro
7381,Giacomo Quagliata,67,LB,LM,24,Italy,Serie BKT,Cremonese
7382,Quintillà,67,LB,LM,28,Spain,Liga Cyprus,APOEL FC
7383,Sergio Quiroga,67,CAM,"CM, LM",30,Argentina,Primera División,Sarmiento
7384,Kasim Rabihic,67,CAM,CM,31,Germany,3. Liga,Saarbrücken
7385,Uroš Radaković,67,CB,,30,Serbia,Trendyol Süper Lig,Sivasspor
7386,Josip Radošević,67,CDM,CM,30,Croatia,3F Superliga,Brøndby IF
7387,Hamza Rafia,67,CM,CAM,25,Tunisia,Serie A Enilive,Lecce
7388,Jackson Ragen,67,CB,,25,United States,MLS,Sounders FC
7389,Sean Raggett,67,CB,,30,England,EFL League One,Rotherham Utd
7390,Mileta Rajović,67,ST,,25,Denmark,3F Superliga,Brøndby IF
7391,Rodrigo Ramallo,67,LM,"LW, RM",33,Bolivia,Libertadores,The Strongest
7392,Alex Rambal,67,CB,,31,Colombia,Sudamericana,ADT
7393,Matías Ramírez,67,LM,"RM, LW",25,Argentina,Primera División,Gimnasia
7394,Eric Ramírez,67,ST,,25,Venezuela,Primera División,Tigre
7395,Joel Randall,67,CAM,LM,24,England,EFL League One,Peterborough
7396,Vadim Rață,67,CM,CAM,31,Moldova,SUPERLIGA,FC Univ. Cluj
7397,Petar Ratkov,67,ST,,21,Serbia,Ö. Bundesliga,RB Salzburg
7398,Nicola Ravaglia,67,GK,,35,Italy,Serie BKT,Sampdoria
7399,Raimundo Rebolledo,67,RB,LB,27,Chile,Sudamericana,Unión La Calera
7400,Luciano Recalde,67,CB,,29,Argentina,Primera División,Banfield
7401,Alex Redolfi,67,CB,,30,Italy,Serie BKT,Mantova
7402,Jamie Reid,67,ST,,30,Northern Ireland,EFL League One,Stevenage
7403,Nuno Lima,67,CB,,23,Portugal,Trendyol Süper Lig,Alanyaspor
